"","ANO_ELEICAO","DESCRICAO_CARGO","SIGLA_PARTIDO","UF","Cadeiras conquistadas por UF"
"392",2006,"DEPUTADO FEDERAL","PDT","AL",1
"393",2006,"DEPUTADO FEDERAL","PDT","AP",1
"394",2006,"DEPUTADO FEDERAL","PDT","BA",3
"395",2006,"DEPUTADO FEDERAL","PDT","ES",2
"396",2006,"DEPUTADO FEDERAL","PDT","MA",2
"397",2006,"DEPUTADO FEDERAL","PDT","MG",2
"398",2006,"DEPUTADO FEDERAL","PDT","MS",1
"399",2006,"DEPUTADO FEDERAL","PDT","PA",1
"400",2006,"DEPUTADO FEDERAL","PDT","PE",1
"401",2006,"DEPUTADO FEDERAL","PDT","PR",1
"402",2006,"DEPUTADO FEDERAL","PDT","RJ",3
"403",2006,"DEPUTADO FEDERAL","PDT","RS",3
"404",2006,"DEPUTADO FEDERAL","PDT","SP",3
"405",2006,"DEPUTADO FEDERAL","PFL","AL",2
"406",2006,"DEPUTADO FEDERAL","PFL","AM",1
"407",2006,"DEPUTADO FEDERAL","PFL","AP",1
"408",2006,"DEPUTADO FEDERAL","PFL","BA",13
"409",2006,"DEPUTADO FEDERAL","PFL","DF",2
"410",2006,"DEPUTADO FEDERAL","PFL","GO",1
"411",2006,"DEPUTADO FEDERAL","PFL","MA",2
"412",2006,"DEPUTADO FEDERAL","PFL","MG",6
"413",2006,"DEPUTADO FEDERAL","PFL","PA",2
"414",2006,"DEPUTADO FEDERAL","PFL","PB",1
"415",2006,"DEPUTADO FEDERAL","PFL","PE",3
"416",2006,"DEPUTADO FEDERAL","PFL","PI",2
"417",2006,"DEPUTADO FEDERAL","PFL","PR",5
"418",2006,"DEPUTADO FEDERAL","PFL","RJ",5
"419",2006,"DEPUTADO FEDERAL","PFL","RN",1
"420",2006,"DEPUTADO FEDERAL","PFL","RR",2
"421",2006,"DEPUTADO FEDERAL","PFL","RS",2
"422",2006,"DEPUTADO FEDERAL","PFL","SC",3
"423",2006,"DEPUTADO FEDERAL","PFL","SE",3
"424",2006,"DEPUTADO FEDERAL","PFL","SP",5
"425",2006,"DEPUTADO FEDERAL","PFL","TO",3
"426",2006,"DEPUTADO FEDERAL","PHS","MG",1
"427",2006,"DEPUTADO FEDERAL","PHS","RJ",1
"428",2006,"DEPUTADO FEDERAL","PL","BA",3
"429",2006,"DEPUTADO FEDERAL","PL","CE",1
"430",2006,"DEPUTADO FEDERAL","PL","ES",1
"431",2006,"DEPUTADO FEDERAL","PL","GO",1
"432",2006,"DEPUTADO FEDERAL","PL","MG",6
"433",2006,"DEPUTADO FEDERAL","PL","MT",1
"434",2006,"DEPUTADO FEDERAL","PL","PB",2
"435",2006,"DEPUTADO FEDERAL","PL","PE",1
"436",2006,"DEPUTADO FEDERAL","PL","PR",2
"437",2006,"DEPUTADO FEDERAL","PL","RJ",1
"438",2006,"DEPUTADO FEDERAL","PL","RN",1
"439",2006,"DEPUTADO FEDERAL","PL","RR",1
"440",2006,"DEPUTADO FEDERAL","PL","SP",2
"441",2006,"DEPUTADO FEDERAL","PMDB","AC",1
"442",2006,"DEPUTADO FEDERAL","PMDB","AL",3
"443",2006,"DEPUTADO FEDERAL","PMDB","AM",1
"444",2006,"DEPUTADO FEDERAL","PMDB","AP",2
"445",2006,"DEPUTADO FEDERAL","PMDB","BA",1
"446",2006,"DEPUTADO FEDERAL","PMDB","CE",6
"447",2006,"DEPUTADO FEDERAL","PMDB","DF",2
"448",2006,"DEPUTADO FEDERAL","PMDB","ES",4
"449",2006,"DEPUTADO FEDERAL","PMDB","GO",5
"450",2006,"DEPUTADO FEDERAL","PMDB","MA",3
"451",2006,"DEPUTADO FEDERAL","PMDB","MG",7
"452",2006,"DEPUTADO FEDERAL","PMDB","MS",2
