"","Município - UF"
"845","Laranja da Terra - ES"
"846","Linhares - ES"
"847","Mantenópolis - ES"
"848","Marataízes - ES"
"849","Marechal Floriano - ES"
"850","Marilândia - ES"
"851","Mimoso do Sul - ES"
"852","Montanha - ES"
"853","Mucurici - ES"
"854","Muniz Freire - ES"
"855","Muqui - ES"
"856","Nova Venécia - ES"
"857","Pancas - ES"
"858","Pedro Canário - ES"
"859","Pinheiros - ES"
"860","Piúma - ES"
"861","Ponto Belo - ES"
"862","Presidente Kennedy - ES"
"863","Rio Bananal - ES"
"864","Rio Novo do Sul - ES"
"865","Santa Leopoldina - ES"
"866","Santa Maria de Jetibá - ES"
"867","Santa Teresa - ES"
"868","São Domingos do Norte - ES"
"869","São Gabriel da Palha - ES"
"870","São José do Calçado - ES"
"871","São Mateus - ES"
"872","São Roque do Canaã - ES"
"873","Serra - ES"
"874","Sooretama - ES"
"875","Vargem Alta - ES"
"876","Venda Nova do Imigrante - ES"
"877","Viana - ES"
"878","Vila Pavão - ES"
"879","Vila Valério - ES"
"880","Vila Velha - ES"
"881","Vitória - ES"
"882","Abadia de Goiás - GO"
"883","Abadiânia - GO"
"884","Acreúna - GO"
"885","Adelândia - GO"
"886","Água Fria de Goiás - GO"
"887","Água Limpa - GO"
"888","Águas Lindas de Goiás - GO"
"889","Alexânia - GO"
"890","Aloândia - GO"
"891","Alto Horizonte - GO"
"892","Alto Paraíso de Goiás - GO"
"893","Alvorada do Norte - GO"
"894","Amaralina - GO"
"895","Americano do Brasil - GO"
"896","Amorinópolis - GO"
"897","Anápolis - GO"
"898","Anhanguera - GO"
"899","Anicuns - GO"
"900","Aparecida de Goiânia - GO"
"901","Aparecida do Rio Doce - GO"
"902","Aporé - GO"
"903","Araçu - GO"
"904","Aragarças - GO"
"905","Aragoiânia - GO"
"906","Araguapaz - GO"
"907","Arenópolis - GO"
"908","Aruanã - GO"
"909","Aurilândia - GO"
"910","Avelinópolis - GO"
"911","Baliza - GO"
"912","Barro Alto - GO"
"913","Bela Vista de Goiás - GO"
"914","Bom Jardim de Goiás - GO"
"915","Bom Jesus de Goiás - GO"
"916","Bonfinópolis - GO"
"917","Bonópolis - GO"
"918","Brazabrantes - GO"
"919","Britânia - GO"
"920","Buriti Alegre - GO"
"921","Buriti de Goiás - GO"
"922","Buritinópolis - GO"
"923","Cabeceiras - GO"
"924","Cachoeira Alta - GO"
"925","Cachoeira de Goiás - GO"
"926","Cachoeira Dourada - GO"
"927","Caçu - GO"
"928","Caiapônia - GO"
"929","Caldas Novas - GO"
"930","Caldazinha - GO"
"931","Campestre de Goiás - GO"
"932","Campinaçu - GO"
"933","Campinorte - GO"
"934","Campo Alegre de Goiás - GO"
"935","Campo Limpo de Goiás - GO"
"936","Campos Belos - GO"
"937","Campos Verdes - GO"
"938","Carmo do Rio Verde - GO"
"939","Castelândia - GO"
"940","Catalão - GO"
"941","Caturaí - GO"
"942","Cavalcante - GO"
"943","Ceres - GO"
"944","Cezarina - GO"
"945","Chapadão do Céu - GO"
"946","Cidade Ocidental - GO"
"947","Cocalzinho de Goiás - GO"
"948","Colinas do Sul - GO"
"949","Córrego do Ouro - GO"
"950","Corumbá de Goiás - GO"
"951","Corumbaíba - GO"
"952","Cristalina - GO"
"953","Cristianópolis - GO"
"954","Crixás - GO"
"955","Cromínia - GO"
"956","Cumari - GO"
"957","Damianópolis - GO"
"958","Damolândia - GO"
"959","Davinópolis - GO"
"960","Diorama - GO"
"961","Divinópolis de Goiás - GO"
"962","Doverlândia - GO"
"963","Edealina - GO"
"964","Edéia - GO"
"965","Estrela do Norte - GO"
"966","Faina - GO"
"967","Fazenda Nova - GO"
"968","Firminópolis - GO"
"969","Flores de Goiás - GO"
"970","Formosa - GO"
"971","Formoso - GO"
"972","Gameleira de Goiás - GO"
