"","Ano da eleição","UF","Cargo","Sigla do partido","Cadeiras conquistadas por UF","Total de cadeiras conquistadas","Percentual de cadeiras"
"247",2002,"ES","Deputado Federal","PMDB",1,76,0.148148148148148
"248",2002,"GO","Deputado Federal","PMDB",4,76,0.148148148148148
"249",2002,"MA","Deputado Federal","PMDB",2,76,0.148148148148148
"250",2002,"MG","Deputado Federal","PMDB",6,76,0.148148148148148
"251",2002,"MS","Deputado Federal","PMDB",2,76,0.148148148148148
"252",2002,"MT","Deputado Federal","PMDB",1,76,0.148148148148148
"253",2002,"PA","Deputado Federal","PMDB",5,76,0.148148148148148
"254",2002,"PB","Deputado Federal","PMDB",2,76,0.148148148148148
"255",2002,"PE","Deputado Federal","PMDB",4,76,0.148148148148148
"256",2002,"PI","Deputado Federal","PMDB",2,76,0.148148148148148
"257",2002,"PR","Deputado Federal","PMDB",6,76,0.148148148148148
"258",2002,"RJ","Deputado Federal","PMDB",6,76,0.148148148148148
"259",2002,"RN","Deputado Federal","PMDB",3,76,0.148148148148148
"260",2002,"RO","Deputado Federal","PMDB",2,76,0.148148148148148
"261",2002,"RS","Deputado Federal","PMDB",6,76,0.148148148148148
"262",2002,"SC","Deputado Federal","PMDB",4,76,0.148148148148148
"263",2002,"SE","Deputado Federal","PMDB",1,76,0.148148148148148
"264",2002,"SP","Deputado Federal","PMDB",4,76,0.148148148148148
"265",2002,"TO","Deputado Federal","PMDB",1,76,0.148148148148148
"266",2002,"SE","Deputado Federal","PMN",1,1,0.00194931773879142
"267",2002,"AC","Deputado Federal","PPB",1,48,0.0935672514619883
"268",2002,"AP","Deputado Federal","PPB",1,48,0.0935672514619883
"269",2002,"BA","Deputado Federal","PPB",2,48,0.0935672514619883
"270",2002,"CE","Deputado Federal","PPB",1,48,0.0935672514619883
"271",2002,"ES","Deputado Federal","PPB",2,48,0.0935672514619883
"272",2002,"GO","Deputado Federal","PPB",3,48,0.0935672514619883
"273",2002,"MA","Deputado Federal","PPB",1,48,0.0935672514619883
"274",2002,"MG","Deputado Federal","PPB",4,48,0.0935672514619883
"275",2002,"MT","Deputado Federal","PPB",1,48,0.0935672514619883
"276",2002,"PA","Deputado Federal","PPB",1,48,0.0935672514619883
"277",2002,"PB","Deputado Federal","PPB",1,48,0.0935672514619883
"278",2002,"PE","Deputado Federal","PPB",3,48,0.0935672514619883
"279",2002,"PR","Deputado Federal","PPB",4,48,0.0935672514619883
"280",2002,"RJ","Deputado Federal","PPB",6,48,0.0935672514619883
"281",2002,"RN","Deputado Federal","PPB",1,48,0.0935672514619883
"282",2002,"RR","Deputado Federal","PPB",1,48,0.0935672514619883
"283",2002,"RS","Deputado Federal","PPB",6,48,0.0935672514619883
"284",2002,"SC","Deputado Federal","PPB",4,48,0.0935672514619883
"285",2002,"SE","Deputado Federal","PPB",1,48,0.0935672514619883
"286",2002,"SP","Deputado Federal","PPB",3,48,0.0935672514619883
"287",2002,"TO","Deputado Federal","PPB",1,48,0.0935672514619883
"288",2002,"AC","Deputado Federal","PPS",1,15,0.0292397660818713
"289",2002,"BA","Deputado Federal","PPS",1,15,0.0292397660818713
"290",2002,"CE","Deputado Federal","PPS",1,15,0.0292397660818713
"291",2002,"MG","Deputado Federal","PPS",3,15,0.0292397660818713
"292",2002,"MS","Deputado Federal","PPS",1,15,0.0292397660818713
"293",2002,"PE","Deputado Federal","PPS",1,15,0.0292397660818713
"294",2002,"PR","Deputado Federal","PPS",2,15,0.0292397660818713
"295",2002,"RO","Deputado Federal","PPS",1,15,0.0292397660818713
"296",2002,"RS","Deputado Federal","PPS",1,15,0.0292397660818713
"297",2002,"SP","Deputado Federal","PPS",3,15,0.0292397660818713
"298",2002,"SP","Deputado Federal","PRONA",6,6,0.0116959064327485
"299",2002,"AL","Deputado Federal","PSB",2,22,0.0428849902534113
"300",2002,"AP","Deputado Federal","PSB",1,22,0.0428849902534113
"301",2002,"ES","Deputado Federal","PSB",1,22,0.0428849902534113
"302",2002,"MA","Deputado Federal","PSB",1,22,0.0428849902534113
"303",2002,"MG","Deputado Federal","PSB",1,22,0.0428849902534113
"304",2002,"PE","Deputado Federal","PSB",4,22,0.0428849902534113
"305",2002,"RJ","Deputado Federal","PSB",6,22,0.0428849902534113
"306",2002,"RS","Deputado Federal","PSB",1,22,0.0428849902534113
"307",2002,"SP","Deputado Federal","PSB",5,22,0.0428849902534113
"308",2002,"RJ","Deputado Federal","PSC",1,1,0.00194931773879142
"309",2002,"DF","Deputado Federal","PSD",1,4,0.00779727095516569
"310",2002,"PB","Deputado Federal","PSD",1,4,0.00779727095516569
"311",2002,"RJ","Deputado Federal","PSD",1,4,0.00779727095516569
"312",2002,"TO","Deputado Federal","PSD",1,4,0.00779727095516569
"313",2002,"AL","Deputado Federal","PSDB",1,70,0.1364522417154
"314",2002,"AP","Deputado Federal","PSDB",1,70,0.1364522417154
"315",2002,"BA","Deputado Federal","PSDB",2,70,0.1364522417154
"316",2002,"CE","Deputado Federal","PSDB",8,70,0.1364522417154
"317",2002,"ES","Deputado Federal","PSDB",2,70,0.1364522417154
"318",2002,"GO","Deputado Federal","PSDB",5,70,0.1364522417154
"319",2002,"MA","Deputado Federal","PSDB",2,70,0.1364522417154
"320",2002,"MG","Deputado Federal","PSDB",8,70,0.1364522417154
"321",2002,"MT","Deputado Federal","PSDB",3,70,0.1364522417154
"322",2002,"PA","Deputado Federal","PSDB",4,70,0.1364522417154
"323",2002,"PB","Deputado Federal","PSDB",3,70,0.1364522417154
"324",2002,"PE","Deputado Federal","PSDB",3,70,0.1364522417154
"325",2002,"PI","Deputado Federal","PSDB",2,70,0.1364522417154
"326",2002,"PR","Deputado Federal","PSDB",5,70,0.1364522417154
"327",2002,"RJ","Deputado Federal","PSDB",5,70,0.1364522417154
"328",2002,"RO","Deputado Federal","PSDB",1,70,0.1364522417154
"329",2002,"RS","Deputado Federal","PSDB",1,70,0.1364522417154
"330",2002,"SE","Deputado Federal","PSDB",1,70,0.1364522417154
"331",2002,"SP","Deputado Federal","PSDB",11,70,0.1364522417154
"332",2002,"TO","Deputado Federal","PSDB",2,70,0.1364522417154
"333",2002,"RJ","Deputado Federal","PSDC",1,1,0.00194931773879142
"334",2002,"MG","Deputado Federal","PSL",1,1,0.00194931773879142
"335",2002,"MG","Deputado Federal","PST",2,3,0.00584795321637427
"336",2002,"RR","Deputado Federal","PST",1,3,0.00584795321637427
"337",2002,"AC","Deputado Federal","PT",3,91,0.177387914230019
"338",2002,"AP","Deputado Federal","PT",2,91,0.177387914230019
"339",2002,"BA","Deputado Federal","PT",7,91,0.177387914230019
"340",2002,"CE","Deputado Federal","PT",2,91,0.177387914230019
"341",2002,"DF","Deputado Federal","PT",2,91,0.177387914230019
"342",2002,"ES","Deputado Federal","PT",1,91,0.177387914230019
"343",2002,"GO","Deputado Federal","PT",2,91,0.177387914230019
"344",2002,"MA","Deputado Federal","PT",1,91,0.177387914230019
"345",2002,"MG","Deputado Federal","PT",11,91,0.177387914230019
"346",2002,"MS","Deputado Federal","PT",3,91,0.177387914230019
"347",2002,"MT","Deputado Federal","PT",1,91,0.177387914230019
