"","ANO_ELEICAO","DESCRICAO_CARGO","SIGLA_PARTIDO","UF","Cadeiras conquistadas"
"371",2002,"DEPUTADO ESTADUAL","PMDB","RO",3
"372",2002,"DEPUTADO ESTADUAL","PMDB","RR",1
"373",2002,"DEPUTADO ESTADUAL","PMDB","RS",9
"374",2002,"DEPUTADO ESTADUAL","PMDB","SC",7
"375",2002,"DEPUTADO ESTADUAL","PMDB","SE",3
"376",2002,"DEPUTADO ESTADUAL","PMDB","SP",4
"377",2002,"DEPUTADO ESTADUAL","PMDB","TO",4
"378",2002,"DEPUTADO ESTADUAL","PMN","AC",2
"379",2002,"DEPUTADO ESTADUAL","PMN","AL",1
"380",2002,"DEPUTADO ESTADUAL","PMN","ES",1
"381",2002,"DEPUTADO ESTADUAL","PMN","MS",1
"382",2002,"DEPUTADO ESTADUAL","PMN","MT",1
"383",2002,"DEPUTADO ESTADUAL","PMN","SE",3
"384",2002,"DEPUTADO ESTADUAL","PPB","AC",2
"385",2002,"DEPUTADO ESTADUAL","PPB","BA",7
"386",2002,"DEPUTADO ESTADUAL","PPB","CE",2
"387",2002,"DEPUTADO ESTADUAL","PPB","ES",4
"388",2002,"DEPUTADO ESTADUAL","PPB","GO",4
"389",2002,"DEPUTADO ESTADUAL","PPB","MA",1
"390",2002,"DEPUTADO ESTADUAL","PPB","MG",6
"391",2002,"DEPUTADO ESTADUAL","PPB","MT",1
"392",2002,"DEPUTADO ESTADUAL","PPB","PA",2
"393",2002,"DEPUTADO ESTADUAL","PPB","PB",2
"394",2002,"DEPUTADO ESTADUAL","PPB","PE",3
"395",2002,"DEPUTADO ESTADUAL","PPB","PI",4
"396",2002,"DEPUTADO ESTADUAL","PPB","PR",4
"397",2002,"DEPUTADO ESTADUAL","PPB","RJ",6
"398",2002,"DEPUTADO ESTADUAL","PPB","RN",8
"399",2002,"DEPUTADO ESTADUAL","PPB","RO",2
"400",2002,"DEPUTADO ESTADUAL","PPB","RR",1
"401",2002,"DEPUTADO ESTADUAL","PPB","RS",10
"402",2002,"DEPUTADO ESTADUAL","PPB","SC",10
"403",2002,"DEPUTADO ESTADUAL","PPB","SE",1
"404",2002,"DEPUTADO ESTADUAL","PPB","SP",7
"405",2002,"DEPUTADO ESTADUAL","PPB","TO",4
"406",2002,"DEPUTADO ESTADUAL","PPS","AC",2
"407",2002,"DEPUTADO ESTADUAL","PPS","AL",2
"408",2002,"DEPUTADO ESTADUAL","PPS","AM",1
"409",2002,"DEPUTADO ESTADUAL","PPS","BA",1
"410",2002,"DEPUTADO ESTADUAL","PPS","CE",4
"411",2002,"DEPUTADO ESTADUAL","PPS","ES",2
"412",2002,"DEPUTADO ESTADUAL","PPS","GO",1
"413",2002,"DEPUTADO ESTADUAL","PPS","MA",1
"414",2002,"DEPUTADO ESTADUAL","PPS","MG",2
"415",2002,"DEPUTADO ESTADUAL","PPS","MS",1
"416",2002,"DEPUTADO ESTADUAL","PPS","MT",2
"417",2002,"DEPUTADO ESTADUAL","PPS","PA",1
"418",2002,"DEPUTADO ESTADUAL","PPS","PB",1
"419",2002,"DEPUTADO ESTADUAL","PPS","PE",1
"420",2002,"DEPUTADO ESTADUAL","PPS","PR",3
"421",2002,"DEPUTADO ESTADUAL","PPS","RJ",1
"422",2002,"DEPUTADO ESTADUAL","PPS","RN",1
"423",2002,"DEPUTADO ESTADUAL","PPS","RO",1
"424",2002,"DEPUTADO ESTADUAL","PPS","RR",1
